"filename" "Name" "year" "Segment" "abies.presence"
"83" "ACCES" "Lago dell'Accesa" 11551.7998 1 136
"300" "AEGEL" "Aegelsee, Diemtigen" 8976 1 56
"412" "ALTEN" "Altenweiher" 6521.43 1 53
"991" "AVRIG" "Avrig" 3550.81 1 19
"1097" "BACHA" "Bachalpsee" 8736 1 126
"1313" "BAMOR" "Basa de la Mora" 6131.09 1 32
"1439" "BANYO" "Banyoles" 8391.96 1 16
"1611" "BEGB" "Peat-bog Begbunar" 5027 1 17
"2209" "BELIY" "Beliya Kanton" 13524 1 14
"2354" "BISCA" "Biscaye [partial copy from EPD]" 8200 1 13
"2600" "BISOC" "Bisoca [partial copy from EPD]" 1313 1 15
"3041" "BOITE" "Lac des Boites" 8887.94 1 40
"3081" "BOKAN" "Bokanjacko" 7068.93 1 36
"3167" "BORKO" "Borkovicka blata" 7000.11 1 28
"3321" "BURGA" "Burgaschisee" 8119 1 62
"3727" "CAPA" "Capatana" 4802 1 71
"3818" "CERVE" "Cervene blato" 5393.08 1 14
"3894" "CHAMP" "Champ Gazon" 3844 1 20
"4287" "COLFI" "Colfiorito" 4638.07 1 17
"4402" "CORRE" "Correo" 8671.85 1 95
"4497" "COSTA" "Lago della Costa AP1" 17095.66602 1 122
"5004" "CRENO" "Lac de Creno" 3617 1 22
"5040" "CSOGL" "Csögle" 7487.34 1 46
"5187" "CZAJK" "Czajkow" 3451 1 48
"5677" "DRYL2" "Sucho Ezero II [EPD: Dry Lake II]" 8648.03 1 100
"5829" "DURA2" "Lake Durankulak [Core DII]" 7978.48 1 1
"6010" "DURCH" "Durchenbergried" 6272.16 1 277
"6391" "EDESS" "Edessa" 10066.64 1 29
"6742" "ESTAN" "Bosc dels Estanyons" 9563 1 72
"6883" "ETAN" "Etang de la Gruere" 8375 1 76
"7445" "GEMBR" "Pian di Gembro" 9362.471 1 209
"7709" "GERLO" "Gerlos" 5094.59 1 29
"8114" "GOSCI" "Lake Gosciaz" 3856.74 1 6
"8225" "GOUNE" "Gourg Nègre [from EPD; selected c" 9989.4 1 77
"8487" "HANCZ" "Lake Hancza" 4384.83 1 4
"8613" "HIERE" "Hières sur Amby" 10308.33 1 55
"8691" "HOCHM" "Hochmoos" 9227.268 1 12
"9000" "HOZEL" "Hozelec" 6257.49 1 6
"9053" "HRABA" "Hrabanoská cernava" 8925 1 15
"9136" "HUZEN" "Huzenbacher See" 6017.85 1 302
"9463" "IOANN" "Ioannina" 20782.08 1 64
"9611" "JASIE" "Jasiel" 4540.96 1 16
"10005" "KMOHO" "Kis-Mohos Tó" 3100.24 1 15
"10261" "KREME" "Lake Kremensko-5" 8707.5 1 16
"10348" "KUPEN" "Kupena II" 8307.43 1 9
"10457" "LAGAC" "Lagaccione" 8979.97 1 27
"10531" "LALOI" "Lac Long Inférieur" 10562.6 1 23
"10663" "LECA" "Iezerul Calimani" 4677 1 27
"10728" "LERNA" "Lake Lerna" 7650 1 52
"10898" "LIPTO" "Liptovsky Jan" 8152.34 1 52
"11151" "LOBSI" "Lobsigensee LQ-90" 8901 1 98
"11851" "LUCI" "Luci" 1246 1 19
"12041" "LUTTE" "Luttersee" 4028 1 20
"12182" "LVILL" "Lac de Villa" 9162.31 1 30
"12433" "MALIQ" "Lake Maliq" 12009.83 1 111
